id,latitude,longitude,altitude,pressure,temperature,humidity
1,12.40352,-149.1451,40392,40.85,98.64,0.12
2,50.31395,86.10523,23079,22.8,38.96,0.547
3,9.4705,91.19595,4277,34.13,72.18,0.573
4,-37.30073,-154.42948,44552,11.7,73.46,0.256
5,-40.15517,-52.56701,50205,18.7,32.23,0.806
6,23.64661,110.24348,24627,44.48,76.26,0.852
7,-37.96311,116.11425,47107,48.66,34.43,0.287
8,14.87064,-159.97065,49334,18.23,99.29,0.752
9,-48.66696,121.3603,13767,21.0,90.67,0.22
10,-76.13437,-34.75623,16220,36.42,80.0,0.751
11,-4.21835,107.65652,22938,44.29,53.96,0.717
12,-53.19615,-117.19573,25973,39.1,96.84,0.342
13,54.19122,95.23855,5764,12.53,86.59,0.141
14,-41.5494,-88.99063,11469,45.35,98.97,0.352
15,-43.76895,126.21285,42188,25.13,71.42,0.18
16,-32.53206,-147.86311,4642,29.3,44.76,0.358
17,-81.47042,-8.54381,47124,33.64,48.76,0.56
18,-52.84966,-118.81131,47775,18.33,34.31,0.669
19,-60.23854,-23.49646,9291,44.1,61.25,0.49
20,-6.9524,-63.69436,43082,12.6,49.82,0.734
21,83.36342,-92.1625,50076,49.95,79.5,0.25
22,-42.7588,-122.39844,47288,22.92,45.74,0.324
23,12.49987,14.94411,4113,29.71,81.54,0.916
24,49.9275,50.91579,49078,29.34,86.9,0.483
25,-6.30118,99.36908,41370,40.6,97.48,0.842
26,-16.167,137.15674,19505,37.69,51.5,0.395
27,4.12,123.11314,48526,13.58,54.22,0.515
28,59.83113,12.58185,24454,28.7,32.27,0.268
29,-20.2764,-150.2074,27801,12.74,67.37,0.149
30,78.52726,-19.1718,42365,44.38,82.4,0.6
31,-58.43858,-9.9511,32219,46.7,64.8,0.302
32,48.16465,95.2205,10166,34.89,76.6,0.107
33,37.64929,93.68454,2633,13.24,45.15,0.446
34,-62.51866,55.5179,16821,44.67,52.63,0.606
35,-15.61431,36.26498,26278,31.0,43.42,0.52
36,42.75425,-99.29737,25775,21.12,98.99,0.937
37,-72.68796,88.40597,24178,19.83,94.43,0.83
38,-10.99797,-28.11485,28561,15.29,41.57,0.398
39,-76.34802,68.56355,17748,19.63,48.6,0.933
40,78.10853,96.78783,46116,15.5,65.65,0.928
41,71.29977,-169.98728,47723,29.4,75.2,0.614
42,62.71358,163.51946,1425,38.31,55.3,0.98
43,52.18814,-87.40395,24279,21.74,63.96,0.519
44,85.2325,-38.30715,47467,47.13,45.61,0.94
45,-19.1547,73.25903,31398,18.11,49.4,0.474
46,-27.66471,-52.83293,43064,43.14,35.4,0.98
47,50.81196,59.26453,1198,34.73,60.6,0.544
