ID,Lat,Long,Alt,Bar,Temp,Hum
1,2.000000,1.000000,.000,8.000,42.760,.313
2,1.998497,1.054804,1.000,10.302,50.870,.281
3,1.993993,1.109443,2.000,12.597,90.970,.656
4,1.986501,1.163752,3.000,14.878,62.870,.505
5,1.976045,1.217570,4.000,17.138,40.480,.595
6,1.962654,1.270734,5.000,19.371,65.480,.970
7,1.946370,1.323084,6.000,21.570,33.470,.390
8,1.927242,1.374463,7.000,23.727,58.350,.538
9,1.905326,1.424716,8.000,25.838,91.780,.542
10,1.880690,1.473693,9.000,27.895,95.680,.982
11,1.853406,1.521246,10.000,29.892,49.260,.937
12,1.823557,1.567233,11.000,31.824,34.870,.743
13,1.791233,1.611514,12.000,33.684,35.900,.951
14,1.756531,1.653958,13.000,35.466,63.580,.754
15,1.719555,1.694436,14.000,37.166,58.820,.596
16,1.680416,1.732826,15.000,38.779,85.500,.157
17,1.639232,1.769014,16.000,40.299,62.200,.598
18,1.596126,1.802891,17.000,41.721,40.920,.964
19,1.551229,1.834354,18.000,43.043,86.920,.286
20,1.504675,1.863309,19.000,44.259,63.820,.660
21,1.456604,1.889670,20.000,45.366,98.230,.787
22,1.407161,1.913356,21.000,46.361,83.420,.131
23,1.356494,1.934298,22.000,47.241,65.620,.890
24,1.304755,1.952431,23.000,48.002,37.290,.734
25,1.252100,1.967701,24.000,48.643,49.100,.886
26,1.198688,1.980063,25.000,49.163,87.590,.289
27,1.144678,1.989479,26.000,49.558,75.860,.594
28,1.090234,1.995921,27.000,49.829,37.940,.819
29,1.035518,1.999369,28.000,49.973,56.810,.109
30,.980696,1.999814,29.000,49.992,63.860,.105
31,.925932,1.997253,30.000,49.885,98.650,.380
32,.871390,1.991695,31.000,49.651,90.480,.126
33,.817235,1.983157,32.000,49.293,74.490,.942
34,.763629,1.971663,33.000,48.810,58.180,.604
35,.710733,1.957249,34.000,48.204,60.300,.395
36,.658707,1.939957,35.000,47.478,68.930,.679
37,.607707,1.919840,36.000,46.633,97.800,.440
38,.557886,1.896959,37.000,45.672,65.300,.862
39,.509394,1.871382,38.000,44.598,41.130,.884
40,.462376,1.843185,39.000,43.414,67.930,.996
41,.416975,1.812454,40.000,42.123,56.440,.884
42,.373326,1.779281,41.000,40.730,71.190,.531
43,.331560,1.743766,42.000,39.238,69.300,.160
44,.291803,1.706015,43.000,37.653,79.480,.819
45,.254176,1.666143,44.000,35.978,51.450,.295
46,.218789,1.624268,45.000,34.219,60.170,.345
47,.185751,1.580516,46.000,32.382,86.390,.487
48,.155161,1.535020,47.000,30.471,62.210,.938
49,.127109,1.487916,48.000,28.492,69.830,.375
50,.101682,1.439345,49.000,26.452,67.900,.568
51,.078954,1.389454,50.000,24.357,36.530,.152
52,.058995,1.338392,51.000,22.212,90.800,.450
53,.041864,1.286313,52.000,20.025,99.250,.810
54,.027613,1.233373,53.000,17.802,68.550,.857
55,.016284,1.179732,54.000,15.549,48.530,.802
56,.007913,1.125551,55.000,13.273,67.100,.545
57,.002523,1.070992,56.000,10.982,33.860,.251
58,.000132,1.016220,57.000,8.681,60.310,.826
59,.000745,.961399,58.000,6.379,34.880,.510
60,.004362,.906694,59.000,4.081,68.780,.388
61,.010972,.852270,60.000,1.795,36.230,.764
62,.020555,.798290,61.000,-.472,89.670,.283
63,.033081,.744916,62.000,-2.714,41.910,.946
64,.048514,.692308,63.000,-4.923,54.130,.118
65,.066806,.640626,64.000,-7.094,65.590,.399
66,.087904,.590024,65.000,-9.219,43.100,.268
67,.111743,.540654,66.000,-11.293,76.720,.506
68,.138252,.492664,67.000,-13.308,72.890,.410
69,.167350,.446200,68.000,-15.260,94.200,.650
70,.198952,.401400,69.000,-17.141,33.460,.264
71,.232961,.358399,70.000,-18.947,37.630,.738
72,.269276,.317327,71.000,-20.672,82.890,.565
73,.307787,.278306,72.000,-22.311,36.500,.120
74,.348379,.241455,73.000,-23.859,97.950,.380
75,.390929,.206884,74.000,-25.311,52.500,.937
76,.435310,.174697,75.000,-26.663,44.770,.963
77,.481388,.144990,76.000,-27.910,88.510,.330
78,.529026,.117853,77.000,-29.050,84.500,.145
79,.578078,.093368,78.000,-30.079,50.970,.100
80,.628399,.071607,79.000,-30.992,70.200,.941
81,.679837,.052638,80.000,-31.789,76.180,.953
82,.732237,.036515,81.000,-32.466,78.790,.804
83,.785442,.023289,82.000,-33.022,65.820,.328
84,.839291,.012998,83.000,-33.454,93.200,.491
85,.893624,.005674,84.000,-33.762,78.290,.820
